// PacMan
// Criação:     13 Jul 2023
// Descrição:   Nível 1 comidas
//
// Informações das comidas
// posX posY
// a organização é feita de baixo para cima e parte sempre do centro da bola

41  36
63  36
85  36 
106 36
128 36
150 36
171 36
193 36
215 36
236 36
258 36
280 36
345 36
366 36
388 36
410 36
431 36
453 36
475 36
496 36
518 36
539 36
561 36
583 36

41  58
150 58
280 58
345 58
475 58
583 58

150 80
280 80
345 80
475 80

41  101
150 101
280 101
345 101
475 101
583 101

41  123
63  123
85  123 
106 123
128 123
150 123
171 123
193 123
215 123
236 123
258 123
280 123
301 123
323 123
345 123
366 123
388 123
410 123
431 123
453 123
475 123
496 123
518 123
539 123
561 123
583 123

41  145
150 145
215 145
410 145
475 145
583 145

41  166
150 166
215 166
410 166
475 166
583 166

41  188
63  188
85  188
106 188
128 188
150 188
215 188
236 188
258 188
280 188
345 188
366 188
388 188
410 188
475 188
496 188
518 188
539 188
561 188
583 188

150 209
475 209

150 231
475 231

150 253
475 253

150 275
475 275

150 296
475 296

150 318
475 318

150 339
475 339

150 361
475 361

150 382
475 382

150 405
475 405

150 426
475 426

41  448
63  448
85  448 
106 448
128 448
150 448
171 448
193 448
215 448
236 448
258 448
280 448
345 448
366 448
388 448
410 448
431 448
453 448
475 448
496 448
518 448
539 448
561 448
583 448

41  469
150 469
280 469
345 469
475 469
583 469

41  490
150 490
280 490
345 490
475 490
583 490

63  512
85  512 
150 512
171 512
193 512
215 512
236 512
258 512
280 512
345 512
366 512
388 512
410 512
431 512
453 512
475 512
539 512
561 512

85  534 
150 534
215 534
410 534
475 534
539 534

85  556 
150 556
215 556
410 556
475 556
539 556

41  577
63  577
85  577
106 577
128 577
150 577
215 577
236 577
258 577
280 577
345 577
366 577
388 577
410 577
475 577
496 577
518 577
539 577
561 577
583 577

41  599
280 599
345 599
583 599

41  621
280 621
345 621
583 621

41  642
63  642
85  642
106 642
128 642
150 642
171 642
193 642
215 642
236 642
258 642
280 642
301 642
323 642
345 642
366 642
388 642
410 642
431 642
453 642
475 642
496 642
518 642
539 642
561 642
583 642
