// PacMan
// Criação:     13 Jul 2023
// Descrição:   Nível 1 (Pivôs)
//
// Informações dos pivôs:
// left right up down posX posY ID
// a organização é feita de baixo para cima

0 1 0 1 40  40  1
1 1 0 1 150 40  2
1 0 0 1 280 40  3
0 1 0 1 345 40  4
1 1 0 1 475 40  5
1 0 0 1 580 40  6
			    
0 1 1 1 40  124 7
1 1 1 1 150 124 8
1 1 0 1 215 124 9
1 1 1 0 280 124 10
1 1 1 0 345 124 11
1 1 0 1 410 124 12
1 1 1 1 475 124 13
1 0 1 1 580 124 14
			    
0 1 1 0 40  188 15
1 0 1 1 150 188 16
0 1 1 0 215 188 17
1 0 0 1 280 188 18
0 1 0 1 345 188 19
1 0 1 0 410 188 20
0 1 1 1 475 188 21
1 0 1 0 580 188 22
			    
0 1 0 1 215 252 23
1 1 1 0 280 252 24
1 1 0 0 311 252 25
1 1 1 0 345 252 26
1 0 0 1 410 252 27
			    
1 1 1 1 150 320 28
1 0 1 1 215 320 29
0 0 1 0	311 320 30
0 1 1 1 410 320 31
1 1 1 1 475 320 32
			    
0 1 1 1 215 385 33
1 1 0 0 260 385 34
1 1 0 0 370 385 35
1 0 1 1 410 385 36
			    
0 1 0 1 40  450 37
1 1 1 1 150 450 38
1 1 1 0 215 450 39
1 0 0 1 280 450 40
0 1 0 1 345 450 41
1 1 1 0 410 450 42
1 1 1 1 475 450 43
1 0 0 1 580 450 44
			    
0 1 1 0 40  510 45
1 0 0 1 85  510 46
0 1 1 1 150 510 47
1 1 0 1 215 510 48
1 1 1 0 280 510 49
1 1 1 0 345 510 50
1 1 0 1 410 510 51
1 0 1 1 475 510 52
0 1 0 1 540 510 53
1 0 1 0 580 510 54
			    
0 1 0 1 40  580 55
1 1 1 0 85  580 56
1 0 1 0 150 580 57
0 1 1 0 215 580 58
1 0 0 1 280 580 59
0 1 0 1 345 580 60
1 0 1 0 410 580 61
0 1 1 0 475 580 62
1 1 1 0 540 580 63
1 0 0 1 580 580 64
			    
0 1 1 0 40  644 65
1 1 1 0 280 644 66
1 1 1 0 345 644 67
1 0 1 0 580 644 68
